job,avgsalary,avgSalaryMale,avgSalaryFemale
Data scientist or machine learning specialist,91107,91277,79798
Developer  front-end,73117,73312,66391
Engineer  data,94819,94313,94134
Engineer  site reliability,109855,109814,117206
Developer  full-stack,80227,80025,80179
Developer  back-end,83250,83128,78027
Developer  desktop or enterprise applications,79715,79612,75141
Developer  QA or test,77591,78346,61836
Student,41092,41123,35136
Developer  mobile,71377,71413,64331
Educator,75808,75665,68503
Engineering manager,121005,121202,123285
Database administrator,78037,77913,70144
Academic researcher,67251,67579,59838
DevOps specialist,91333,91066,90766
Other,96950,97692,86462
Developer  embedded applications or devices,83026,82878,90117
Developer  game or graphics,80067,80716,48444
Project manager,80961,80757,81732
Cloud infrastructure engineer,102816,102531,108183
Data or business analyst,81031,81184,73776
Designer,77033,78234,63469
Scientist,86256,86641,83099
Product manager,91201,91369,98153
Senior Executive,125645,126020,89507
System administrator,78284,78454,73494
Blockchain,94559,94426,76160
Marketing or sales professional,93338,96525,56765
Security professional,103791,104076,82495
